Title,Name,Team,Name Trend,Team Trend,Year,Print Run,Patch,Jsy,Sticker,Rookie,Memorbilia,Autographed,Serial Number,Cost
2005-06 Artifacts Autofacts Silver #AFBB Brad Boyes 19/50, Brad Boyes,Boston Bruins,932,1076,2005,50,0,0,0,0,0,1,1,10.5
2005-06 Artifacts Autofacts Silver #AFHE Milan Hejduk , Milan Hejduk,Colorado Avalanche,1289,1163,2005,50,0,0,0,0,0,1,1,9
2005-06 Artifacts Blue #10 Sergei Samsonov , Sergei Samsonov,Boston Bruins,1342,1076,2005,75,0,0,0,0,0,0,1,4.5
2005-06 Artifacts Blue #22 Eric Daze , Eric Daze,Chicago Blackhawks,794,2291,2005,75,0,0,0,0,0,0,1,4.5
2005-06 Artifacts Blue #27 Milan Hejduk , Milan Hejduk,Colorado Avalanche,1289,1163,2005,75,0,0,0,0,0,0,1,1.5
2005-06 Artifacts #105 Johnny Bower AL , Johnny Bower,Toronto Maple Leafs,1517,1127,2005,899,0,0,0,0,0,0,1,3
2005-06 Artifacts #108 Wayne Cashman AL , Wayne Cashman,Boston Bruins,1062,1076,2005,899,0,0,0,0,0,0,1,1.12
2005-06 Artifacts #116 Tony Esposito AL , Tony Esposito,Chicago Blackhawks,957,2291,2005,899,0,0,0,0,0,0,1,3
2005-06 Artifacts #126 Jari Kurri AL , Jari Kurri,Edmonton Oilers,1526,2477,2005,899,0,0,0,0,0,0,1,3
2005-06 Artifacts #129 Reggie Leach AL , Reggie Leach,Philadelphia Flyers,1731,1906,2005,899,0,0,0,0,0,0,1,0.58
2005-06 Artifacts #167 Steve Yzerman AS , Steve Yzerman,Detroit Red Wings,245,1931,2005,899,0,0,0,0,0,0,1,5.1
2005-06 Artifacts #195 Ed Belfour AS , Ed Belfour,Toronto Maple Leafs,2639,1127,2005,899,0,0,0,0,0,0,1,1.88
2005-06 Artifacts #204 Thomas Vanek RC , Thomas Vanek,Buffalo Sabres,1564,2180,2005,750,0,0,0,1,0,0,1,15
